# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
5

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,IFSLJOONNE,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.300000000000000044e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,8,17
# x,y,z,u,w
0.000000000000000000e+00, 1.499999999999997689e-02, 6.300000000000000044e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 1.382044575479100292e-02, 6.241636627356270672e-01, 1.000000000000000000e+00, 2.500000000000000000e-01
0.000000000000000000e+00, 1.060452201277598851e-02, 6.193954779872240524e-01, 1.000000000000000000e+00, 5.000000000000000000e-01
0.000000000000000000e+00, 5.836337264373002258e-03, 6.161795542452089824e-01, 1.000000000000000000e+00, 7.500000000000000000e-01
0.000000000000000000e+00, 0.000000000000000000e+00, 6.149999999999999911e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.850371707708594131e-17, -5.836337264372992717e-03, 6.161795542452089824e-01, 1.000000000000000000e+00, 1.250000000000000000e+00
-1.850371707708594131e-17, -1.060452201277598851e-02, 6.193954779872240524e-01, 1.000000000000000000e+00, 1.500000000000000000e+00
-1.850371707708594131e-17, -1.382044575479098557e-02, 6.241636627356270672e-01, 1.000000000000000000e+00, 1.750000000000000000e+00
-1.850371707708594131e-17, -1.499999999999999424e-02, 6.300000000000000044e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
0.000000000000000000e+00, -1.382044575479098557e-02, 6.358363372643730527e-01, 1.000000000000000000e+00, 2.250000000000000000e+00
-1.850371707708594131e-17, -1.060452201277598851e-02, 6.406045220127759565e-01, 1.000000000000000000e+00, 2.500000000000000000e+00
-1.850371707708594131e-17, -5.836337264372992717e-03, 6.438204457547910264e-01, 1.000000000000000000e+00, 2.750000000000000000e+00
-1.850371707708594131e-17, 0.000000000000000000e+00, 6.450000000000000178e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
-1.850371707708594131e-17, 5.836337264372992717e-03, 6.438204457547910264e-01, 1.000000000000000000e+00, 3.250000000000000000e+00
-1.850371707708594131e-17, 1.060452201277598851e-02, 6.406045220127759565e-01, 1.000000000000000000e+00, 3.500000000000000000e+00
0.000000000000000000e+00, 1.382044575479098557e-02, 6.358363372643730527e-01, 1.000000000000000000e+00, 3.750000000000000000e+00
-1.850371707708594131e-17, 1.500000000000001332e-02, 6.300000000000000044e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
8.299038248501658388e-02, 8.216321186386285613e-02, 6.300000000000000044e-01, 1.142857142857142794e+00, 0.000000000000000000e+00
8.299038248501658388e-02, 7.687801876677378965e-02, 5.982473844687800080e-01, 1.142857142857142794e+00, 2.500000000000000000e-01
8.299038248501655612e-02, 6.215230119701813105e-02, 5.706173781032733983e-01, 1.142857142857142794e+00, 5.000000000000000000e-01
8.299038248501661164e-02, 3.313745518136575890e-02, 5.558916605335176842e-01, 1.142857142857142794e+00, 7.500000000000000000e-01
8.299038248501659776e-02, 1.329768901010613375e-18, 5.506064674364286038e-01, 1.142857142857142794e+00, 1.000000000000000000e+00
