0.99980552,-0.01972094,0.0
0.99956136,-0.01967612,0.0
0.99882885,-0.01954265,0.0
0.99760799,-0.01932053,0.0
0.99590079,-0.01900980,0.0
0.99370822,-0.01861148,0.0
0.99103328,-0.01812563,0.0
0.98787891,-0.01755532,0.0
0.98424616,-0.01689855,0.0
0.98014094,-0.01615945,0.0
0.97556524,-0.01533805,0.0
0.97052506,-0.01443548,0.0
0.96502433,-0.01345481,0.0
0.95906905,-0.01239616,0.0
0.95266416,-0.01126263,0.0
0.94581660,-0.01005735,0.0
0.93853236,-0.00878045,0.0
0.93082042,-0.00743410,0.0
0.92268567,-0.00602240,0.0
0.91413812,-0.00454655,0.0
0.90518468,-0.00300968,0.0
0.89583533,-0.00141399,0.0
0.88609801,0.00023736,0.0
0.87598368,0.00194315,0.0
0.86550127,0.00369922,0.0
0.85466074,0.00550336,0.0
0.84347305,0.00735335,0.0
0.83194911,0.00924498,0.0
0.82010091,0.01117701,0.0
0.80793936,0.01314523,0.0
0.79547642,0.01514740,0.0
0.78272503,0.01718027,0.0
0.76969613,0.01924061,0.0
0.75640366,0.02132515,0.0
0.74286058,0.02343265,0.0
0.72907981,0.02555783,0.0
0.71507530,0.02769843,0.0
0.70086101,0.02985217,0.0
0.68644984,0.03201379,0.0
0.67185676,0.03418200,0.0
0.65709570,0.03635252,0.0
0.64218058,0.03852209,0.0
0.62712734,0.04068637,0.0
0.61194994,0.04284410,0.0
0.59666328,0.04498999,0.0
0.58128231,0.04712073,0.0
0.56582198,0.04923403,0.0
0.55029819,0.05132458,0.0
0.53472489,0.05339010,0.0
0.51911901,0.05542626,0.0
0.50349349,0.05742980,0.0
0.48786623,0.05939637,0.0
0.47225020,0.06132371,0.0
0.45666230,0.06320648,0.0
0.44111646,0.06504142,0.0
0.42562865,0.06682620,0.0
0.41021378,0.06855653,0.0
0.39488778,0.07022910,0.0
0.37963457,0.07183922,0.0
0.36444072,0.07336615,0.0
0.34931980,0.07478663,0.0
0.33429029,0.07607528,0.0
0.31936576,0.07720982,0.0
0.30456381,0.07816992,0.0
0.28990206,0.07893521,0.0
0.27539920,0.07949133,0.0
0.26107292,0.07982092,0.0
0.24694400,0.07991357,0.0
0.23302922,0.07975796,0.0
0.21935147,0.07934761,0.0
0.20592864,0.07867719,0.0
0.19278272,0.07774626,0.0
0.17993272,0.07655445,0.0
0.16739974,0.07510733,0.0
0.15520289,0.07340953,0.0
0.14336237,0.07147166,0.0
0.13189742,0.06930534,0.0
0.12082529,0.06692323,0.0
0.11016333,0.06434299,0.0
0.09992889,0.06158228,0.0
0.09013536,0.05865985,0.0
0.08079919,0.05559938,0.0
0.07193077,0.05242065,0.0
0.06354361,0.04914842,0.0
0.05564715,0.04580549,0.0
0.04824986,0.04241572,0.0
0.04136124,0.03900390,0.0
0.03498673,0.03559295,0.0
0.02913179,0.03220576,0.0
0.02379988,0.02886526,0.0
0.01899638,0.02559135,0.0
0.01472169,0.02240403,0.0
0.01097717,0.01932128,0.0
0.00776415,0.01636007,0.0
0.00508090,0.01353443,0.0
0.00292671,0.01085839,0.0
0.00129974,0.00834099,0.0
0.00019819,0.00599126,0.0
-0.00038383,0.00381531,0.0
-0.00044823,0.00181819,0.0
0.00000000,0.00000000,0.0
0.00094532,-0.00161596,0.0
0.00237311,-0.00300939,0.0
0.00427630,-0.00418515,0.0
0.00664973,-0.00515014,0.0
0.00948429,-0.00591019,0.0
0.01277479,-0.00647519,0.0
0.01651199,-0.00685697,0.0
0.02068767,-0.00706635,0.0
0.02529456,-0.00711722,0.0
0.03032341,-0.00702237,0.0
0.03576588,-0.00679866,0.0
0.04161370,-0.00645992,0.0
0.04785853,-0.00602299,0.0
0.05449106,-0.00550369,0.0
0.06150396,-0.00491887,0.0
0.06888989,-0.00428541,0.0
0.07663953,-0.00361911,0.0
0.08474760,-0.00293487,0.0
0.09320674,-0.00225056,0.0
0.10201070,-0.00157905,0.0
0.11115317,-0.00093523,0.0
0.12063091,-0.00033202,0.0
0.13043664,0.00021671,0.0
0.14056716,0.00070102,0.0
0.15101928,0.00111097,0.0
0.16178778,0.00143567,0.0
0.17286852,0.00166819,0.0
0.18425936,0.00180158,0.0
0.19595524,0.00183193,0.0
0.20795304,0.00175431,0.0
0.22024677,0.00156883,0.0
0.23283242,0.00127457,0.0
0.24570399,0.00087266,0.0
0.25885558,0.00036720,0.0
0.27227930,-0.00023565,0.0
0.28596928,-0.00092976,0.0
0.29991372,-0.00170391,0.0
0.31410586,-0.00254696,0.0
0.32853394,-0.00344567,0.0
0.34318627,-0.00438481,0.0
0.35805018,-0.00534713,0.0
0.37311404,-0.00631439,0.0
0.38836327,-0.00726430,0.0
0.40375324,-0.00817798,0.0
0.41924107,-0.00904959,0.0
0.43480872,-0.00987976,0.0
0.45044219,-0.01066922,0.0
0.46612546,-0.01141865,0.0
0.48184450,-0.01212979,0.0
0.49758126,-0.01280426,0.0
0.51332076,-0.01344078,0.0
0.52904795,-0.01404305,0.0
0.54474680,-0.01461076,0.0
0.56040232,-0.01514461,0.0
0.57599746,-0.01564626,0.0
0.59151821,-0.01611643,0.0
0.60694852,-0.01655682,0.0
0.62227341,-0.01696712,0.0
0.63747682,-0.01735002,0.0
0.65254374,-0.01770522,0.0
0.66746017,-0.01803345,0.0
0.68221108,-0.01833541,0.0
0.69678043,-0.01861379,0.0
0.71115522,-0.01886732,0.0
0.72532043,-0.01909772,0.0
0.73926202,-0.01930670,0.0
0.75296699,-0.01949401,0.0
0.76642133,-0.01966037,0.0
0.77961099,-0.01980752,0.0
0.79252299,-0.01993518,0.0
0.80514527,-0.02004512,0.0
0.81746484,-0.02013809,0.0
0.82946966,-0.02021485,0.0
0.84114672,-0.02027615,0.0
0.85248600,-0.02032278,0.0
0.86347548,-0.02035651,0.0
0.87410414,-0.02037712,0.0
0.88436193,-0.02038742,0.0
0.89423787,-0.02038618,0.0
0.90372291,-0.02037623,0.0
0.91280703,-0.02035837,0.0
0.92148123,-0.02033243,0.0
0.92973647,-0.02030023,0.0
0.93756572,-0.02026362,0.0
0.94496097,-0.02022245,0.0
0.95191320,-0.02017755,0.0
0.95841737,-0.02013181,0.0
0.96446649,-0.02008409,0.0
0.97005352,-0.02003627,0.0
0.97517344,-0.01998923,0.0
0.97982222,-0.01994490,0.0
0.98399387,-0.01990216,0.0
0.98768439,-0.01986193,0.0
0.99089069,-0.01982715,0.0
0.99360884,-0.01979575,0.0
0.99583679,-0.01976968,0.0
